a,b,same_sign_class,cfst,log_gdp_gap
ARG,AUS,False,0.0529178455951701,0.7193931916700684
ARG,BGD,False,0.0928225855786043,1.522835812012021
ARG,BOL,False,0.0417824963999188,0.8691841038650878
ARG,BRA,False,0.0326539693523311,0.4372660470035896
ARG,CAN,False,0.0514270232455722,0.7116871448651771
ARG,CHL,False,0.0256383403206649,0.01151394778425363
ARG,CHN,False,0.0973883863898293,0.5020519889832364
ARG,COL,False,0.0368665032670654,0.4874484010248654
ARG,CZE,False,0.0437767309852622,0.48027847592216233
ARG,DEU,False,0.0632623843958382,0.7956479444778033
ARG,EGY,False,0.0635023901767871,0.674802053063118
ARG,GBR,False,0.0521606487593765,0.6292308459637947
ARG,GRC,False,0.0500914544150046,0.1485798784142105
ARG,GTM,False,0.0409074634073678,0.9198704311987598
ARG,IDN,False,0.0899650740680665,0.8554171166277627
ARG,IND,False,0.0660478313716307,1.3676528748996013
ARG,IRN,False,0.0593560060510602,0.5874831158952194
ARG,IRQ,False,0.0362294107546893,0.6520065082038844
ARG,JOR,False,0.0600050490624633,0.9965536392781384
ARG,JPN,False,0.0909837828212694,0.4936455245586515
ARG,KAZ,False,0.0534913092732947,0.13462197919541552
ARG,KEN,False,0.0491390477756743,1.7349461584069612
ARG,KOR,False,0.0437019937939112,0.5354248671530613
ARG,MAR,False,0.032569021355131,1.1913295484373805
ARG,MEX,False,0.0357860670918019,0.24661186048165362
ARG,NGA,False,0.0486257774466674,1.1824232621583484
ARG,NIC,False,0.0409388009167771,1.3693246558657712
ARG,NLD,False,0.0658934394964679,0.8588034632508084
ARG,PAK,False,0.0608307743674239,1.7096104335442206
ARG,PER,False,0.0572203335560783,0.6106534814076525
ARG,PHL,False,0.0802980503775313,1.1747354780550108
ARG,ROU,False,0.0391911237926504,0.16346473813524653
ARG,RUS,False,0.0276178457828901,0.2569494275831179
ARG,SRB,False,0.0136332575341505,0.34227230079924986
ARG,THA,False,0.0519674969183009,0.32343519999048986
ARG,TUR,False,0.0612383278461351,0.004421717267494074
ARG,UKR,False,0.0159112480609716,0.5240647220771706
ARG,USA,False,0.0464306026189635,0.8733072115092462
ARG,VEN,False,0.0274920891521951,
ARG,VNM,False,0.095399502262535,0.9847525721097057
ARG,ZWE,False,0.0405328539118317,1.6820245114925552
AUS,BGD,False,0.1059755843152274,2.2422290036820893
AUS,BOL,False,0.1001128750329254,1.5885772955351563
AUS,BRA,False,0.0567054466349594,1.156659238673658
AUS,CAN,True,0.0086583077276285,0.007706046804891287
AUS,CHL,False,0.052830854093668,0.7078792438858148
AUS,CHN,False,0.0801901472349721,1.2214451806533049
AUS,COL,False,0.078914603188307,1.2068415926949339
AUS,CZE,False,0.0339764583721006,0.2391147157479061
AUS,DEU,False,0.0193696317179353,0.07625475280773486
AUS,EGY,False,0.0901670346608896,1.3941952447331865
AUS,GBR,False,0.0083313909285382,0.09016234570627368
AUS,GRC,False,0.0725647290018883,0.5708133132558579
AUS,GTM,False,0.078507937057912,1.6392636228688282
AUS,IDN,False,0.0974490716249557,1.574810308297831
AUS,IND,False,0.0611624875067685,2.0870460665696697
AUS,IRN,False,0.0533939668567896,1.3068763075652878
AUS,IRQ,False,0.064814885392306,1.3713996998739528
AUS,JOR,False,0.0526866004234848,1.7159468309482069
AUS,JPN,False,0.0643831989365192,0.22574766711141692
AUS,KAZ,False,0.059900826376206,0.5847712124746529
AUS,KEN,False,0.0660329118056605,2.4543393500770296
AUS,KOR,False,0.0549797225964778,0.18396832451700718
AUS,MAR,False,0.0538377492415971,1.910722740107449
AUS,MEX,False,0.0889874965588599,0.966005052151722
AUS,NGA,False,0.0680548987894261,1.9018164538284168
AUS,NIC,False,0.0924607535884282,2.0887178475358397
AUS,NLD,False,0.0228343640134335,0.13941027158073993
AUS,PAK,False,0.0664489675871975,2.429003625214289
AUS,PER,False,0.1188505302161999,1.330046673077721
AUS,PHL,False,0.0917334139045166,1.8941286697250792
AUS,ROU,False,0.0741977925907355,0.5559284535348219
AUS,RUS,False,0.0551965549910882,0.46244376408695054
AUS,SRB,False,0.0481865331869408,1.0616654924693183
